folder_name,file_name,size_bytes,server_modified,path_display,id
2025_06_30,0001906547_0001951757_25_000880_2025_06_30.parquet,18227,2025-12-14T11:24:44,/Nizar/sec_forms/2025_06_30/0001906547_0001951757_25_000880_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7iw
2025_06_30,0001906275_0001667731_25_000756_2025_06_30.parquet,19745,2025-12-14T11:24:46,/Nizar/sec_forms/2025_06_30/0001906275_0001667731_25_000756_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7jA
2025_06_30,0001906227_0001725547_25_003406_2025_06_30.parquet,15752,2025-12-14T11:24:49,/Nizar/sec_forms/2025_06_30/0001906227_0001725547_25_003406_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7jQ
2025_06_30,0001906023_0001906023_25_000005_2025_06_30.parquet,23709,2025-12-14T11:24:51,/Nizar/sec_forms/2025_06_30/0001906023_0001906023_25_000005_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7jg
2025_06_30,0001906014_0001951757_25_000834_2025_06_30.parquet,19842,2025-12-14T11:24:53,/Nizar/sec_forms/2025_06_30/0001906014_0001951757_25_000834_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7jw
2025_06_30,0001906003_0001172661_25_002853_2025_06_30.parquet,18970,2025-12-14T11:24:55,/Nizar/sec_forms/2025_06_30/0001906003_0001172661_25_002853_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7kA
2025_06_30,0001905875_0001214659_25_010351_2025_06_30.parquet,17200,2025-12-14T11:24:57,/Nizar/sec_forms/2025_06_30/0001905875_0001214659_25_010351_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7kQ
2025_06_30,0001905668_0001172661_25_003224_2025_06_30.parquet,10805,2025-12-14T11:24:58,/Nizar/sec_forms/2025_06_30/0001905668_0001172661_25_003224_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7kg
2025_06_30,0001905663_0001905663_25_000007_2025_06_30.parquet,27198,2025-12-14T11:25:00,/Nizar/sec_forms/2025_06_30/0001905663_0001905663_25_000007_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7kw
2025_06_30,0001905162_0001905162_25_000007_2025_06_30.parquet,15460,2025-12-14T11:25:02,/Nizar/sec_forms/2025_06_30/0001905162_0001905162_25_000007_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7lA
2025_06_30,0001905128_0001905128_25_000007_2025_06_30.parquet,29074,2025-12-14T11:25:05,/Nizar/sec_forms/2025_06_30/0001905128_0001905128_25_000007_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7lQ
2025_06_30,0001905092_0001905092_25_000004_2025_06_30.parquet,18160,2025-12-14T11:25:07,/Nizar/sec_forms/2025_06_30/0001905092_0001905092_25_000004_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7lg
2025_06_30,0001905083_0001905083_25_000004_2025_06_30.parquet,16191,2025-12-14T11:25:09,/Nizar/sec_forms/2025_06_30/0001905083_0001905083_25_000004_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7mA
2025_06_30,0001904976_0001951757_25_001083_2025_06_30.parquet,68881,2025-12-14T11:25:11,/Nizar/sec_forms/2025_06_30/0001904976_0001951757_25_001083_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7mQ
2025_06_30,0001904906_0001667731_25_000895_2025_06_30.parquet,19340,2025-12-14T11:25:12,/Nizar/sec_forms/2025_06_30/0001904906_0001667731_25_000895_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7mg
2025_06_30,0001904822_0001904822_25_000004_2025_06_30.parquet,17215,2025-12-14T11:25:14,/Nizar/sec_forms/2025_06_30/0001904822_0001904822_25_000004_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7mw
2025_06_30,0001904549_0001013594_25_001035_2025_06_30.parquet,18641,2025-12-14T11:25:17,/Nizar/sec_forms/2025_06_30/0001904549_0001013594_25_001035_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7nA
2025_06_30,0001904477_0001214659_25_010931_2025_06_30.parquet,22589,2025-12-14T11:25:19,/Nizar/sec_forms/2025_06_30/0001904477_0001214659_25_010931_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7nQ
2025_06_30,0001904432_0001904432_25_000004_2025_06_30.parquet,20279,2025-12-14T11:25:22,/Nizar/sec_forms/2025_06_30/0001904432_0001904432_25_000004_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7ng
2025_06_30,0001904431_0001951757_25_000828_2025_06_30.parquet,21151,2025-12-14T11:25:24,/Nizar/sec_forms/2025_06_30/0001904431_0001951757_25_000828_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7nw
2025_06_30,0001904423_0001904423_25_000005_2025_06_30.parquet,18288,2025-12-14T11:25:25,/Nizar/sec_forms/2025_06_30/0001904423_0001904423_25_000005_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7oA
2025_06_30,0001904373_0001904373_25_000007_2025_06_30.parquet,15583,2025-12-14T11:25:28,/Nizar/sec_forms/2025_06_30/0001904373_0001904373_25_000007_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7og
2025_06_30,0001904152_0001904152_25_000004_2025_06_30.parquet,18635,2025-12-14T11:25:30,/Nizar/sec_forms/2025_06_30/0001904152_0001904152_25_000004_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7ow
2025_06_30,0001904033_0001904033_25_000003_2025_06_30.parquet,19512,2025-12-14T11:25:31,/Nizar/sec_forms/2025_06_30/0001904033_0001904033_25_000003_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7pA
2025_06_30,0001903880_0001903880_25_000005_2025_06_30.parquet,24459,2025-12-14T11:25:35,/Nizar/sec_forms/2025_06_30/0001903880_0001903880_25_000005_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7pQ
